step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,referral_bonus_outflow,inviter_earned_usdt,notes
0,baseline,Aggressive Alpha,40,"Inviter won prior triad payout; standard referral mode",0,200.00,30.00,170.00,0.00,0.00,"No recovery-eligible investment; inviter already redeemed/won; 20 invitees qualify via first invest (Aggressive Alpha)"
1,subscription,Aggressive Alpha,40,"Referral invitee 1 (first invest)",25,225.00,33.33,191.67,0.00,0.00,"+25 pool; +3.33 surplus (S_sub)"
2,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 1 bonus",2,225.00,31.33,193.67,2.00,0.00,"invitee_bonus −2; credited"
3,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 1)",2,225.00,29.33,195.67,4.00,2.00,"inviter_bonus −2; credited"
4,subscription,Aggressive Alpha,40,"Referral invitee 2 (first invest)",25,250.00,32.66,217.34,4.00,2.00,"+25 pool; +3.33 surplus (S_sub)"
5,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 2 bonus",2,250.00,30.66,219.34,6.00,2.00,"invitee_bonus −2; credited"
6,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 2)",2,250.00,28.66,221.34,8.00,4.00,"inviter_bonus −2; credited"
7,subscription,Aggressive Alpha,40,"Referral invitee 3 (first invest)",25,275.00,31.99,243.01,8.00,4.00,"+25 pool; +3.33 surplus (S_sub)"
8,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 3 bonus",2,275.00,29.99,245.01,10.00,4.00,"invitee_bonus −2; credited"
9,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 3)",2,275.00,27.99,247.01,12.00,6.00,"inviter_bonus −2; credited"
10,subscription,Aggressive Alpha,40,"Referral invitee 4 (first invest)",25,300.00,31.32,268.68,12.00,6.00,"+25 pool; +3.33 surplus (S_sub)"
11,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 4 bonus",2,300.00,29.32,270.68,14.00,6.00,"invitee_bonus −2; credited"
12,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 4)",2,300.00,27.32,272.68,16.00,8.00,"inviter_bonus −2; credited"
13,subscription,Aggressive Alpha,40,"Referral invitee 5 (first invest)",25,325.00,30.65,294.35,16.00,8.00,"+25 pool; +3.33 surplus (S_sub)"
14,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 5 bonus",2,325.00,28.65,296.35,18.00,8.00,"invitee_bonus −2; credited"
15,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 5)",2,325.00,26.65,298.35,20.00,10.00,"inviter_bonus −2; credited"
16,subscription,Aggressive Alpha,40,"Referral invitee 6 (first invest)",25,350.00,29.98,320.02,20.00,10.00,"+25 pool; +3.33 surplus (S_sub)"
17,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 6 bonus",2,350.00,27.98,322.02,22.00,10.00,"invitee_bonus −2; credited"
18,referral_bonus_outflow,Aggressive Alpha,40,"Inviter bonus (invitee 6)",2,350.00,25.98,324.02,24.00,12.00,"inviter_bonus −2; credited"
19,subscription,Aggressive Alpha,40,"Referral invitee 7 (first invest)",25,375.00,29.31,345.69,24.00,12.00,"+25 pool; +3.33 surplus (S_sub)"
20,referral_bonus_outflow,Aggressive Alpha,40,"Invitee 7 bonus",2,375.00,27.31,347.69,26.00,12.00,"invitee_bonus −2; credited"
