step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
1,subscription,Aggressive Alpha,40,Investment1,25,25.00,3.33,21.67,+3.33 surplus on subscribe (triad surplus 10÷3)
2,subscription,Aggressive Alpha,40,Investment2,25,50.00,6.66,43.34,+3.33 surplus on subscribe (triad surplus 10÷3)
3,subscription,Aggressive Alpha,40,Investment3,25,75.00,9.99,65.01,+3.33 surplus on subscribe (triad surplus 10÷3)
4,payout,Aggressive Alpha,40,Payment to Investment1,35,40.00,9.99,30.01,Triad payout 35 USDT (40% return); head 1 unlocked by 2 and 3; no surplus on payout
5,subscription,Aggressive Alpha,40,Investment4,25,65.00,13.32,51.68,+3.33 surplus on subscribe (triad surplus 10÷3)
6,subscription,Aggressive Alpha,40,Investment5,25,90.00,16.65,73.35,+3.33 surplus on subscribe (triad surplus 10÷3)
7,payout,Aggressive Alpha,40,Payment to Investment2,35,55.00,16.65,38.35,Triad payout 35 USDT (40% return); head 2 unlocked by 4 and 5; no surplus on payout
8,subscription,Aggressive Alpha,40,Investment6,25,80.00,19.98,60.02,+3.33 surplus on subscribe (triad surplus 10÷3)
9,subscription,Aggressive Alpha,40,Investment7,25,105.00,23.31,81.69,+3.33 surplus on subscribe (triad surplus 10÷3)
10,payout,Aggressive Alpha,40,Payment to Investment3,35,70.00,23.31,46.69,Triad payout 35 USDT (40% return); head 3 unlocked by 6 and 7; no surplus on payout
11,subscription,Aggressive Alpha,40,Investment8,25,95.00,26.64,68.36,+3.33 surplus on subscribe (triad surplus 10÷3)
12,subscription,Aggressive Alpha,40,Investment9,25,120.00,29.97,90.03,+3.33 surplus on subscribe (triad surplus 10÷3)
13,payout,Aggressive Alpha,40,Payment to Investment4,35,85.00,29.97,55.03,Triad payout 35 USDT (40% return); head 4 unlocked by 8 and 9; no surplus on payout
14,subscription,Aggressive Alpha,40,Investment10,25,110.00,33.30,76.70,+3.33 surplus on subscribe (triad surplus 10÷3)
15,subscription,Aggressive Alpha,40,Investment11,25,135.00,36.63,98.37,+3.33 surplus on subscribe (triad surplus 10÷3)
16,surplus_payout,Aggressive Alpha,40,Payment to Investment5 (surplus),35,100.00,1.63,98.37,Surplus ≥ 35; pool −35 and surplus −35
17,subscription,Aggressive Alpha,40,Investment12,25,125.00,4.96,120.04,+3.33 surplus on subscribe (triad surplus 10÷3)
18,subscription,Aggressive Alpha,40,Investment13,25,150.00,8.29,141.71,+3.33 surplus on subscribe (triad surplus 10÷3)
