step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
1,subscription,Balanced Growth,15,Investment1,25,25.00,5.42,19.58,+5.42 surplus on subscribe (triad surplus 16.25÷3)
2,subscription,Balanced Growth,15,Investment2,25,50.00,10.84,39.16,+5.42 surplus on subscribe (triad surplus 16.25÷3)
3,subscription,Balanced Growth,15,Investment3,25,75.00,16.26,58.74,+5.42 surplus on subscribe (triad surplus 16.25÷3)
4,payout,Balanced Growth,15,Payment to Investment1,28.75,46.25,16.26,29.99,Triad payout 28.75 USDT (15% return); head 1 unlocked by 2 and 3; no surplus on payout
5,subscription,Balanced Growth,15,Investment4,25,71.25,21.68,49.57,+5.42 surplus on subscribe (triad surplus 16.25÷3)
6,subscription,Balanced Growth,15,Investment5,25,96.25,27.10,69.15,+5.42 surplus on subscribe (triad surplus 16.25÷3)
7,payout,Balanced Growth,15,Payment to Investment2,28.75,67.50,27.10,40.40,Triad payout 28.75 USDT (15% return); head 2 unlocked by 4 and 5; no surplus on payout
8,subscription,Balanced Growth,15,Investment6,25,92.50,32.52,59.98,+5.42 surplus on subscribe (triad surplus 16.25÷3)
9,surplus_payout,Balanced Growth,15,Payment to Investment5 (surplus),28.75,63.75,3.77,59.98,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
10,subscription,Balanced Growth,15,Investment7,25,88.75,9.19,79.56,+5.42 surplus on subscribe (triad surplus 16.25÷3)
11,payout,Balanced Growth,15,Payment to Investment3,28.75,60.00,9.19,50.81,Triad payout 28.75 USDT (15% return); head 3 unlocked by 6 and 7; no surplus on payout
12,subscription,Balanced Growth,15,Investment8,25,85.00,14.61,70.39,+5.42 surplus on subscribe (triad surplus 16.25÷3)
13,subscription,Balanced Growth,15,Investment9,25,110.00,20.03,89.97,+5.42 surplus on subscribe (triad surplus 16.25÷3)
14,payout,Balanced Growth,15,Payment to Investment4,28.75,81.25,20.03,61.22,Triad payout 28.75 USDT (15% return); head 4 unlocked by 8 and 9; no surplus on payout
15,subscription,Balanced Growth,15,Investment10,25,106.25,25.45,80.80,+5.42 surplus on subscribe (triad surplus 16.25÷3)
16,subscription,Balanced Growth,15,Investment11,25,131.25,30.87,100.38,+5.42 surplus on subscribe (triad surplus 16.25÷3)
17,surplus_payout,Balanced Growth,15,Payment to Investment6 (surplus),28.75,102.50,2.12,100.38,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
18,subscription,Balanced Growth,15,Investment12,25,127.50,7.54,119.96,+5.42 surplus on subscribe (triad surplus 16.25÷3)
19,subscription,Balanced Growth,15,Investment13,25,152.50,12.96,139.54,+5.42 surplus on subscribe (triad surplus 16.25÷3)
20,subscription,Balanced Growth,15,Investment14,25,177.50,18.38,159.12,+5.42 surplus on subscribe (triad surplus 16.25÷3)
21,subscription,Balanced Growth,15,Investment15,25,202.50,23.80,178.70,+5.42 surplus on subscribe (triad surplus 16.25÷3)
22,payout,Balanced Growth,15,Payment to Investment7,28.75,173.75,23.80,149.95,Triad payout 28.75 USDT (15% return); head 7 unlocked by 14 and 15; no surplus on payout
23,subscription,Balanced Growth,15,Investment16,25,198.75,29.22,169.53,+5.42 surplus on subscribe (triad surplus 16.25÷3)
24,surplus_payout,Balanced Growth,15,Payment to Investment8 (surplus),28.75,170.00,0.47,169.53,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
25,subscription,Balanced Growth,15,Investment17,25,195.00,5.89,189.11,+5.42 surplus on subscribe (triad surplus 16.25÷3)
26,subscription,Balanced Growth,15,Investment18,25,220.00,11.31,208.69,+5.42 surplus on subscribe (triad surplus 16.25÷3)
27,subscription,Balanced Growth,15,Investment19,25,245.00,16.73,228.27,+5.42 surplus on subscribe (triad surplus 16.25÷3)
28,payout,Balanced Growth,15,Payment to Investment9,28.75,216.25,16.73,199.52,Triad payout 28.75 USDT (15% return); head 9 unlocked by 18 and 19; no surplus on payout
29,subscription,Balanced Growth,15,Investment20,25,241.25,22.15,219.10,+5.42 surplus on subscribe (triad surplus 16.25÷3)
30,subscription,Balanced Growth,15,Investment21,25,266.25,27.57,238.68,+5.42 surplus on subscribe (triad surplus 16.25÷3)
31,payout,Balanced Growth,15,Payment to Investment10,28.75,237.50,27.57,209.93,Triad payout 28.75 USDT (15% return); head 10 unlocked by 20 and 21; no surplus on payout
32,subscription,Balanced Growth,15,Investment22,25,262.50,32.99,229.51,+5.42 surplus on subscribe (triad surplus 16.25÷3)
33,surplus_payout,Balanced Growth,15,Payment to Investment11 (surplus),28.75,233.75,4.24,229.51,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
34,subscription,Balanced Growth,15,Investment23,25,258.75,9.66,249.09,+5.42 surplus on subscribe (triad surplus 16.25÷3)
35,subscription,Balanced Growth,15,Investment24,25,283.75,15.08,268.67,+5.42 surplus on subscribe (triad surplus 16.25÷3)
36,subscription,Balanced Growth,15,Investment25,25,308.75,20.50,288.25,+5.42 surplus on subscribe (triad surplus 16.25÷3)
37,payout,Balanced Growth,15,Payment to Investment12,28.75,280.00,20.50,259.50,Triad payout 28.75 USDT (15% return); head 12 unlocked by 24 and 25; no surplus on payout
38,subscription,Balanced Growth,15,Investment26,25,305.00,25.92,279.08,+5.42 surplus on subscribe (triad surplus 16.25÷3)
39,subscription,Balanced Growth,15,Investment27,25,330.00,31.34,298.66,+5.42 surplus on subscribe (triad surplus 16.25÷3)
40,surplus_payout,Balanced Growth,15,Payment to Investment13 (surplus),28.75,301.25,2.59,298.66,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
41,subscription,Balanced Growth,15,Investment28,25,326.25,8.01,318.24,+5.42 surplus on subscribe (triad surplus 16.25÷3)
42,subscription,Balanced Growth,15,Investment29,25,351.25,13.43,337.82,+5.42 surplus on subscribe (triad surplus 16.25÷3)
43,payout,Balanced Growth,15,Payment to Investment14,28.75,322.50,13.43,309.07,Triad payout 28.75 USDT (15% return); head 14 unlocked by 28 and 29; no surplus on payout
44,subscription,Balanced Growth,15,Investment30,25,347.50,18.85,328.65,+5.42 surplus on subscribe (triad surplus 16.25÷3)
45,subscription,Balanced Growth,15,Investment31,25,372.50,24.27,348.23,+5.42 surplus on subscribe (triad surplus 16.25÷3)
46,payout,Balanced Growth,15,Payment to Investment15,28.75,343.75,24.27,319.48,Triad payout 28.75 USDT (15% return); head 15 unlocked by 30 and 31; no surplus on payout
47,subscription,Balanced Growth,15,Investment32,25,368.75,29.69,339.06,+5.42 surplus on subscribe (triad surplus 16.25÷3)
48,surplus_payout,Balanced Growth,15,Payment to Investment16 (surplus),28.75,340.00,0.94,339.06,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
49,subscription,Balanced Growth,15,Investment33,25,365.00,6.36,358.64,+5.42 surplus on subscribe (triad surplus 16.25÷3)
50,subscription,Balanced Growth,15,Investment34,25,390.00,11.78,378.22,+5.42 surplus on subscribe (triad surplus 16.25÷3)
51,subscription,Balanced Growth,15,Investment35,25,415.00,17.20,397.80,+5.42 surplus on subscribe (triad surplus 16.25÷3)
52,payout,Balanced Growth,15,Payment to Investment17,28.75,386.25,17.20,369.05,Triad payout 28.75 USDT (15% return); head 17 unlocked by 34 and 35; no surplus on payout
53,subscription,Balanced Growth,15,Investment36,25,411.25,22.62,388.63,+5.42 surplus on subscribe (triad surplus 16.25÷3)
54,subscription,Balanced Growth,15,Investment37,25,436.25,28.04,408.21,+5.42 surplus on subscribe (triad surplus 16.25÷3)
55,payout,Balanced Growth,15,Payment to Investment18,28.75,407.50,28.04,379.46,Triad payout 28.75 USDT (15% return); head 18 unlocked by 36 and 37; no surplus on payout
56,subscription,Balanced Growth,15,Investment38,25,432.50,33.46,399.04,+5.42 surplus on subscribe (triad surplus 16.25÷3)
57,surplus_payout,Balanced Growth,15,Payment to Investment19 (surplus),28.75,403.75,4.71,399.04,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
58,subscription,Balanced Growth,15,Investment39,25,428.75,10.13,418.62,+5.42 surplus on subscribe (triad surplus 16.25÷3)
59,subscription,Balanced Growth,15,Investment40,25,453.75,15.55,438.20,+5.42 surplus on subscribe (triad surplus 16.25÷3)
60,subscription,Balanced Growth,15,Investment41,25,478.75,20.97,457.78,+5.42 surplus on subscribe (triad surplus 16.25÷3)
61,payout,Balanced Growth,15,Payment to Investment20,28.75,450.00,20.97,429.03,Triad payout 28.75 USDT (15% return); head 20 unlocked by 40 and 41; no surplus on payout
62,subscription,Balanced Growth,15,Investment42,25,475.00,26.39,448.61,+5.42 surplus on subscribe (triad surplus 16.25÷3)
63,subscription,Balanced Growth,15,Investment43,25,500.00,31.81,468.19,+5.42 surplus on subscribe (triad surplus 16.25÷3)
64,surplus_payout,Balanced Growth,15,Payment to Investment21 (surplus),28.75,471.25,3.06,468.19,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
65,subscription,Balanced Growth,15,Investment44,25,496.25,8.48,487.77,+5.42 surplus on subscribe (triad surplus 16.25÷3)
66,subscription,Balanced Growth,15,Investment45,25,521.25,13.90,507.35,+5.42 surplus on subscribe (triad surplus 16.25÷3)
67,payout,Balanced Growth,15,Payment to Investment22,28.75,492.50,13.90,478.60,Triad payout 28.75 USDT (15% return); head 22 unlocked by 44 and 45; no surplus on payout
68,subscription,Balanced Growth,15,Investment46,25,517.50,19.32,498.18,+5.42 surplus on subscribe (triad surplus 16.25÷3)
69,subscription,Balanced Growth,15,Investment47,25,542.50,24.74,517.76,+5.42 surplus on subscribe (triad surplus 16.25÷3)
70,payout,Balanced Growth,15,Payment to Investment23,28.75,513.75,24.74,489.01,Triad payout 28.75 USDT (15% return); head 23 unlocked by 46 and 47; no surplus on payout
71,subscription,Balanced Growth,15,Investment48,25,538.75,30.16,508.59,+5.42 surplus on subscribe (triad surplus 16.25÷3)
72,surplus_payout,Balanced Growth,15,Payment to Investment24 (surplus),28.75,510.00,1.41,508.59,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
73,subscription,Balanced Growth,15,Investment49,25,535.00,6.83,528.17,+5.42 surplus on subscribe (triad surplus 16.25÷3)
74,subscription,Balanced Growth,15,Investment50,25,560.00,12.25,547.75,+5.42 surplus on subscribe (triad surplus 16.25÷3)
75,subscription,Balanced Growth,15,Investment51,25,585.00,17.67,567.33,+5.42 surplus on subscribe (triad surplus 16.25÷3)
76,payout,Balanced Growth,15,Payment to Investment25,28.75,556.25,17.67,538.58,Triad payout 28.75 USDT (15% return); head 25 unlocked by 50 and 51; no surplus on payout
77,subscription,Balanced Growth,15,Investment52,25,581.25,23.09,558.16,+5.42 surplus on subscribe (triad surplus 16.25÷3)
78,subscription,Balanced Growth,15,Investment53,25,606.25,28.51,577.74,+5.42 surplus on subscribe (triad surplus 16.25÷3)
79,payout,Balanced Growth,15,Payment to Investment26,28.75,577.50,28.51,548.99,Triad payout 28.75 USDT (15% return); head 26 unlocked by 52 and 53; no surplus on payout
80,subscription,Balanced Growth,15,Investment54,25,602.50,33.93,568.57,+5.42 surplus on subscribe (triad surplus 16.25÷3)
81,surplus_payout,Balanced Growth,15,Payment to Investment27 (surplus),28.75,573.75,5.18,568.57,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
