step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
1,subscription,Capital Shield,6,Investment1,25,25.00,6.17,18.83,+6.17 surplus on subscribe (triad surplus 18.5÷3)
2,subscription,Capital Shield,6,Investment2,25,50.00,12.34,37.66,+6.17 surplus on subscribe (triad surplus 18.5÷3)
3,subscription,Capital Shield,6,Investment3,25,75.00,18.51,56.49,+6.17 surplus on subscribe (triad surplus 18.5÷3)
4,payout,Capital Shield,6,Payment to Investment1,26.5,48.50,18.51,29.99,Triad payout 26.5 USDT (6% return); head 1 unlocked by 2 and 3; no surplus on payout
5,subscription,Capital Shield,6,Investment4,25,73.50,24.68,48.82,+6.17 surplus on subscribe (triad surplus 18.5÷3)
6,subscription,Capital Shield,6,Investment5,25,98.50,30.85,67.65,+6.17 surplus on subscribe (triad surplus 18.5÷3)
7,surplus_payout,Capital Shield,6,Payment to Investment5 (surplus),26.5,72.00,4.35,67.65,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
8,payout,Capital Shield,6,Payment to Investment2,26.5,45.50,4.35,41.15,Triad payout 26.5 USDT (6% return); head 2 unlocked by 4 and 5; no surplus on payout
9,subscription,Capital Shield,6,Investment6,25,70.50,10.52,59.98,+6.17 surplus on subscribe (triad surplus 18.5÷3)
10,subscription,Capital Shield,6,Investment7,25,95.50,16.69,78.81,+6.17 surplus on subscribe (triad surplus 18.5÷3)
11,payout,Capital Shield,6,Payment to Investment3,26.5,69.00,16.69,52.31,Triad payout 26.5 USDT (6% return); head 3 unlocked by 6 and 7; no surplus on payout
12,subscription,Capital Shield,6,Investment8,25,94.00,22.86,71.14,+6.17 surplus on subscribe (triad surplus 18.5÷3)
13,subscription,Capital Shield,6,Investment9,25,119.00,29.03,89.97,+6.17 surplus on subscribe (triad surplus 18.5÷3)
14,surplus_payout,Capital Shield,6,Payment to Investment6 (surplus),26.5,92.50,2.53,89.97,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
15,payout,Capital Shield,6,Payment to Investment4,26.5,66.00,2.53,63.47,Triad payout 26.5 USDT (6% return); head 4 unlocked by 8 and 9; no surplus on payout
16,subscription,Capital Shield,6,Investment10,25,91.00,8.70,82.30,+6.17 surplus on subscribe (triad surplus 18.5÷3)
17,subscription,Capital Shield,6,Investment11,25,116.00,14.87,101.13,+6.17 surplus on subscribe (triad surplus 18.5÷3)
18,subscription,Capital Shield,6,Investment12,25,141.00,21.04,119.96,+6.17 surplus on subscribe (triad surplus 18.5÷3)
19,subscription,Capital Shield,6,Investment13,25,166.00,27.21,138.79,+6.17 surplus on subscribe (triad surplus 18.5÷3)
20,surplus_payout,Capital Shield,6,Payment to Investment7 (surplus),26.5,139.50,0.71,138.79,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
21,subscription,Capital Shield,6,Investment14,25,164.50,6.88,157.62,+6.17 surplus on subscribe (triad surplus 18.5÷3)
22,subscription,Capital Shield,6,Investment15,25,189.50,13.05,176.45,+6.17 surplus on subscribe (triad surplus 18.5÷3)
23,subscription,Capital Shield,6,Investment16,25,214.50,19.22,195.28,+6.17 surplus on subscribe (triad surplus 18.5÷3)
24,subscription,Capital Shield,6,Investment17,25,239.50,25.39,214.11,+6.17 surplus on subscribe (triad surplus 18.5÷3)
25,payout,Capital Shield,6,Payment to Investment8,26.5,213.00,25.39,187.61,Triad payout 26.5 USDT (6% return); head 8 unlocked by 16 and 17; no surplus on payout
26,subscription,Capital Shield,6,Investment18,25,238.00,31.56,206.44,+6.17 surplus on subscribe (triad surplus 18.5÷3)
27,surplus_payout,Capital Shield,6,Payment to Investment9 (surplus),26.5,211.50,5.06,206.44,Surplus ≥ 26.5; pool −26.5 and surplus −26.5
28,subscription,Capital Shield,6,Investment19,25,236.50,11.23,225.27,+6.17 surplus on subscribe (triad surplus 18.5÷3)
29,subscription,Capital Shield,6,Investment20,25,261.50,17.40,244.10,+6.17 surplus on subscribe (triad surplus 18.5÷3)
