step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
1,subscription,Aggressive Alpha,40,Investment1,25,25.00,3.33,21.67,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
2,subscription,Stable Yield,10,Investment2,25,50.00,9.16,40.84,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
3,subscription,Balanced Growth,15,Investment3,25,75.00,14.58,60.42,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
4,payout,Aggressive Alpha,40,Payment to Investment1,35,40.00,14.58,25.42,Triad payout 35 USDT (40%); head 1 unlocked by 2 and 3; fund Aggressive Alpha
5,subscription,Aggressive Alpha,40,Investment4,25,65.00,17.91,47.09,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
6,subscription,Balanced Growth,15,Investment5,25,90.00,23.33,66.67,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
7,payout,Stable Yield,10,Payment to Investment2,27.5,62.50,23.33,39.17,Triad payout 27.5 USDT (10%); head 2 unlocked by 4 and 5; fund Stable Yield
8,subscription,Growth Partners,25,Investment6,25,87.50,27.91,59.59,+4.58 surplus on subscribe (Growth Partners; triad surplus 13.75÷3)
9,subscription,Aggressive Alpha,40,Investment7,25,112.50,31.24,81.26,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
10,surplus_payout,Balanced Growth,15,Payment to Investment5 (surplus),28.75,83.75,2.49,81.26,Surplus ≥ 28.75; pool −28.75 and surplus −28.75
11,payout,Balanced Growth,15,Payment to Investment3,28.75,55.00,2.49,52.51,Triad payout 28.75 USDT (15%); head 3 unlocked by 6 and 7; fund Balanced Growth
12,subscription,Stable Yield,10,Investment8,25,80.00,8.32,71.68,+5.83 surplus on subscribe (Stable Yield; triad surplus 17.5÷3)
13,subscription,Aggressive Alpha,40,Investment9,25,105.00,11.65,93.35,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
14,payout,Aggressive Alpha,40,Payment to Investment4,35,70.00,11.65,58.35,Triad payout 35 USDT (40%); head 4 unlocked by 8 and 9; fund Aggressive Alpha
15,subscription,Capital Shield,6,Investment10,25,95.00,17.82,77.18,+6.17 surplus on subscribe (Capital Shield; triad surplus 18.5÷3)
16,subscription,Aggressive Alpha,40,Investment11,25,120.00,21.15,98.85,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
17,subscription,Balanced Growth,15,Investment12,25,145.00,26.57,118.43,+5.42 surplus on subscribe (Balanced Growth; triad surplus 16.25÷3)
18,subscription,Aggressive Alpha,40,Investment13,25,170.00,29.90,140.10,+3.33 surplus on subscribe (Aggressive Alpha; triad surplus 10÷3)
19,payout,Growth Partners,25,Payment to Investment6,31.25,138.75,29.90,108.85,Triad payout 31.25 USDT (25%); head 6 unlocked by 12 and 13; fund Growth Partners
