step,event,fund,return_percent,label,amount_ars,pool_available,treasury_surplus,protected_withdrawable,mp_fee_in_cumulative,mp_fee_out_user_cumulative,iibb_cumulative,ganancias_cumulative,platform_cost_cumulative,notes
1,subscription,Capital Shield,6,Investment1,100000,100000.00,33500.00,66500.00,6000.00,0.00,3500.00,8375.00,17875.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
2,subscription,Capital Shield,6,Investment2,100000,200000.00,67000.00,133000.00,12000.00,0.00,7000.00,16750.00,35750.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
3,subscription,Growth Partners,25,Investment3,100000,300000.00,95750.00,204250.00,18000.00,0.00,10500.00,23937.50,52437.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
4,subscription,Aggressive Alpha,40,Investment4,100000,400000.00,120750.00,279250.00,24000.00,0.00,14000.00,30187.50,68187.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
5,surplus_payout,Capital Shield,6,Investment1,106000,294000.00,14750.00,279250.00,24000.00,6360.00,14000.00,30187.50,68187.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
6,subscription,Growth Partners,25,Investment5,100000,394000.00,43500.00,350500.00,30000.00,6360.00,17500.00,37375.00,84875.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
7,payout,Capital Shield,6,Investment2,106000,288000.00,43500.00,244500.00,30000.00,12720.00,17500.00,37375.00,84875.00,"Cohort payout 106000 ARS (6%); unlocked by Investment3, Investment4, Investment5 (3 unlockers); user MP out ~6360 ARS (6%, absorbed by user)"
8,subscription,Growth Partners,25,Investment6,100000,388000.00,72250.00,315750.00,36000.00,12720.00,21000.00,44562.50,101562.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
9,subscription,Stable Yield,10,Investment7,100000,488000.00,104750.00,383250.00,42000.00,12720.00,24500.00,52687.50,119187.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
10,subscription,Stable Yield,10,Investment8,100000,588000.00,137250.00,450750.00,48000.00,12720.00,28000.00,60812.50,136812.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
11,surplus_payout,Growth Partners,25,Investment3,125000,463000.00,12250.00,450750.00,48000.00,20220.00,28000.00,60812.50,136812.50,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
12,payout,Aggressive Alpha,40,Investment4,140000,323000.00,12250.00,310750.00,48000.00,28620.00,28000.00,60812.50,136812.50,"Cohort payout 140000 ARS (40%); unlocked by Investment6, Investment7, Investment8 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
13,subscription,Capital Shield,6,Investment9,100000,423000.00,45750.00,377250.00,54000.00,28620.00,31500.00,69187.50,154687.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
14,subscription,Balanced Growth,15,Investment10,100000,523000.00,77000.00,446000.00,60000.00,28620.00,35000.00,77000.00,172000.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
15,subscription,Stable Yield,10,Investment11,100000,623000.00,109500.00,513500.00,66000.00,28620.00,38500.00,85125.00,189625.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
16,surplus_payout,Capital Shield,6,Investment9,106000,517000.00,3500.00,513500.00,66000.00,34980.00,38500.00,85125.00,189625.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
17,payout,Growth Partners,25,Investment5,125000,392000.00,3500.00,388500.00,66000.00,42480.00,38500.00,85125.00,189625.00,"Cohort payout 125000 ARS (25%); unlocked by Investment9, Investment10, Investment11 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
18,subscription,Balanced Growth,15,Investment12,100000,492000.00,34750.00,457250.00,72000.00,42480.00,42000.00,92937.50,206937.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
19,subscription,Capital Shield,6,Investment13,100000,592000.00,68250.00,523750.00,78000.00,42480.00,45500.00,101312.50,224812.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
20,subscription,Stable Yield,10,Investment14,100000,692000.00,100750.00,591250.00,84000.00,42480.00,49000.00,109437.50,242437.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
21,payout,Growth Partners,25,Investment6,125000,567000.00,100750.00,466250.00,84000.00,49980.00,49000.00,109437.50,242437.50,"Cohort payout 125000 ARS (25%); unlocked by Investment12, Investment13, Investment14 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
22,subscription,Aggressive Alpha,40,Investment15,100000,667000.00,125750.00,541250.00,90000.00,49980.00,52500.00,115687.50,258187.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
