step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,trx_burned_cumulative,trx_cost_usdt_cumulative,notes
1,subscription,Capital Shield,6,Investment1,50,50.00,12.33,37.67,10,2.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
2,subscription,Aggressive Alpha,40,Investment2,50,100.00,18.99,81.01,20,5.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
3,subscription,Balanced Growth,15,Investment3,50,150.00,29.82,120.18,30,7.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
4,payout,Capital Shield,6,Investment1,53,97.00,29.82,67.18,50,12.50,"Triad payout 53 USDT (6%); unlocked by Investment2 and Investment3; +2×10 TRX (payout+withdraw)"
5,subscription,Aggressive Alpha,40,Investment4,50,147.00,36.48,110.52,60,15.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
6,subscription,Stable Yield,10,Investment5,50,197.00,48.14,148.86,70,17.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
7,payout,Aggressive Alpha,40,Investment2,70,127.00,48.14,78.86,90,22.50,"Triad payout 70 USDT (40%); unlocked by Investment4 and Investment5; +2×10 TRX (payout+withdraw)"
8,subscription,Balanced Growth,15,Investment6,50,177.00,58.97,118.03,100,25.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
9,surplus_payout,Balanced Growth,15,Investment3,57.5,119.50,1.47,118.03,120,30.00,"Surplus ≥ 57.5; pool and surplus −57.5; +2×10 TRX (payout+withdraw)"
10,subscription,Capital Shield,6,Investment7,50,169.50,13.80,155.70,130,32.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
11,payout,Aggressive Alpha,40,Investment4,70,99.50,13.80,85.70,150,37.50,"Triad payout 70 USDT (40%); unlocked by Investment6 and Investment7; +2×10 TRX (payout+withdraw)"
12,subscription,Capital Shield,6,Investment8,50,149.50,26.13,123.37,160,40.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
13,subscription,Stable Yield,10,Investment9,50,199.50,37.79,161.71,170,42.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
14,payout,Stable Yield,10,Investment5,55,144.50,37.79,106.71,190,47.50,"Triad payout 55 USDT (10%); unlocked by Investment8 and Investment9; +2×10 TRX (payout+withdraw)"
15,subscription,Stable Yield,10,Investment10,50,194.50,49.45,145.05,200,50.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
16,subscription,Stable Yield,10,Investment11,50,244.50,61.11,183.39,210,52.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
17,surplus_payout,Balanced Growth,15,Investment6,57.5,187.00,3.61,183.39,230,57.50,"Surplus ≥ 57.5; pool and surplus −57.5; +2×10 TRX (payout+withdraw)"
18,payout,Capital Shield,6,Investment7,53,134.00,3.61,130.39,250,62.50,"Triad payout 53 USDT (6%); unlocked by Investment10 and Investment11; +2×10 TRX (payout+withdraw)"
19,subscription,Stable Yield,10,Investment12,50,184.00,15.27,168.73,260,65.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
20,subscription,Capital Shield,6,Investment13,50,234.00,27.60,206.40,270,67.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
21,payout,Capital Shield,6,Investment8,53,181.00,27.60,153.40,290,72.50,"Triad payout 53 USDT (6%); unlocked by Investment12 and Investment13; +2×10 TRX (payout+withdraw)"
22,subscription,Capital Shield,6,Investment14,50,231.00,39.93,191.07,300,75.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
23,subscription,Capital Shield,6,Investment15,50,281.00,52.26,228.74,310,77.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
24,payout,Stable Yield,10,Investment9,55,226.00,52.26,173.74,330,82.50,"Triad payout 55 USDT (10%); unlocked by Investment14 and Investment15; +2×10 TRX (payout+withdraw)"
25,subscription,Balanced Growth,15,Investment16,50,276.00,63.09,212.91,340,85.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
26,surplus_payout,Stable Yield,10,Investment10,55,221.00,8.09,212.91,360,90.00,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
27,subscription,Balanced Growth,15,Investment17,50,271.00,18.92,252.08,370,92.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
28,payout,Stable Yield,10,Investment11,55,216.00,18.92,197.08,390,97.50,"Triad payout 55 USDT (10%); unlocked by Investment16 and Investment17; +2×10 TRX (payout+withdraw)"
29,subscription,Aggressive Alpha,40,Investment18,50,266.00,25.58,240.42,400,100.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
30,subscription,Balanced Growth,15,Investment19,50,316.00,36.41,279.59,410,102.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
31,payout,Stable Yield,10,Investment12,55,261.00,36.41,224.59,430,107.50,"Triad payout 55 USDT (10%); unlocked by Investment18 and Investment19; +2×10 TRX (payout+withdraw)"
32,subscription,Growth Partners,25,Investment20,50,311.00,45.57,265.43,440,110.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
33,subscription,Growth Partners,25,Investment21,50,361.00,54.73,306.27,450,112.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
34,surplus_payout,Capital Shield,6,Investment13,53,308.00,1.73,306.27,470,117.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
35,payout,Capital Shield,6,Investment14,53,255.00,1.73,253.27,490,122.50,"Triad payout 53 USDT (6%); unlocked by Investment20 and Investment21; +2×10 TRX (payout+withdraw)"
36,subscription,Capital Shield,6,Investment22,50,305.00,14.06,290.94,500,125.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
37,subscription,Growth Partners,25,Investment23,50,355.00,23.22,331.78,510,127.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
38,payout,Capital Shield,6,Investment15,53,302.00,23.22,278.78,530,132.50,"Triad payout 53 USDT (6%); unlocked by Investment22 and Investment23; +2×10 TRX (payout+withdraw)"
39,subscription,Capital Shield,6,Investment24,50,352.00,35.55,316.45,540,135.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
40,subscription,Growth Partners,25,Investment25,50,402.00,44.71,357.29,550,137.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
41,payout,Balanced Growth,15,Investment16,57.5,344.50,44.71,299.79,570,142.50,"Triad payout 57.5 USDT (15%); unlocked by Investment24 and Investment25; +2×10 TRX (payout+withdraw)"
42,subscription,Stable Yield,10,Investment26,50,394.50,56.37,338.13,580,145.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
43,surplus_payout,Capital Shield,6,Investment22,53,341.50,3.37,338.13,600,150.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
44,subscription,Aggressive Alpha,40,Investment27,50,391.50,10.03,381.47,610,152.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
45,payout,Balanced Growth,15,Investment17,57.5,334.00,10.03,323.97,630,157.50,"Triad payout 57.5 USDT (15%); unlocked by Investment26 and Investment27; +2×10 TRX (payout+withdraw)"
46,subscription,Balanced Growth,15,Investment28,50,384.00,20.86,363.14,640,160.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
47,subscription,Growth Partners,25,Investment29,50,434.00,30.02,403.98,650,162.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
48,payout,Aggressive Alpha,40,Investment18,70,364.00,30.02,333.98,670,167.50,"Triad payout 70 USDT (40%); unlocked by Investment28 and Investment29; +2×10 TRX (payout+withdraw)"
