step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,notes
1,subscription,Stable Yield,10,Investment1,25,25.00,5.83,19.17,+5.83 surplus on subscribe (triad surplus 17.5÷3)
2,subscription,Stable Yield,10,Investment2,25,50.00,11.66,38.34,+5.83 surplus on subscribe (triad surplus 17.5÷3)
3,subscription,Stable Yield,10,Investment3,25,75.00,17.49,57.51,+5.83 surplus on subscribe (triad surplus 17.5÷3)
4,payout,Stable Yield,10,Payment to Investment1,27.5,47.50,17.49,30.01,Triad payout 27.5 USDT (10% return); head 1 unlocked by 2 and 3; no surplus on payout
5,subscription,Stable Yield,10,Investment4,25,72.50,23.32,49.18,+5.83 surplus on subscribe (triad surplus 17.5÷3)
6,subscription,Stable Yield,10,Investment5,25,97.50,29.15,68.35,+5.83 surplus on subscribe (triad surplus 17.5÷3)
7,surplus_payout,Stable Yield,10,Payment to Investment5 (surplus),27.5,70.00,1.65,68.35,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
8,payout,Stable Yield,10,Payment to Investment2,27.5,42.50,1.65,40.85,Triad payout 27.5 USDT (10% return); head 2 unlocked by 4 and 5; no surplus on payout
9,subscription,Stable Yield,10,Investment6,25,67.50,7.48,60.02,+5.83 surplus on subscribe (triad surplus 17.5÷3)
10,subscription,Stable Yield,10,Investment7,25,92.50,13.31,79.19,+5.83 surplus on subscribe (triad surplus 17.5÷3)
11,payout,Stable Yield,10,Payment to Investment3,27.5,65.00,13.31,51.69,Triad payout 27.5 USDT (10% return); head 3 unlocked by 6 and 7; no surplus on payout
12,subscription,Stable Yield,10,Investment8,25,90.00,19.14,70.86,+5.83 surplus on subscribe (triad surplus 17.5÷3)
13,subscription,Stable Yield,10,Investment9,25,115.00,24.97,90.03,+5.83 surplus on subscribe (triad surplus 17.5÷3)
14,payout,Stable Yield,10,Payment to Investment4,27.5,87.50,24.97,62.53,Triad payout 27.5 USDT (10% return); head 4 unlocked by 8 and 9; no surplus on payout
15,subscription,Stable Yield,10,Investment10,25,112.50,30.80,81.70,+5.83 surplus on subscribe (triad surplus 17.5÷3)
16,surplus_payout,Stable Yield,10,Payment to Investment6 (surplus),27.5,85.00,3.30,81.70,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
17,subscription,Stable Yield,10,Investment11,25,110.00,9.13,100.87,+5.83 surplus on subscribe (triad surplus 17.5÷3)
18,subscription,Stable Yield,10,Investment12,25,135.00,14.96,120.04,+5.83 surplus on subscribe (triad surplus 17.5÷3)
19,subscription,Stable Yield,10,Investment13,25,160.00,20.79,139.21,+5.83 surplus on subscribe (triad surplus 17.5÷3)
20,subscription,Stable Yield,10,Investment14,25,185.00,26.62,158.38,+5.83 surplus on subscribe (triad surplus 17.5÷3)
21,subscription,Stable Yield,10,Investment15,25,210.00,32.45,177.55,+5.83 surplus on subscribe (triad surplus 17.5÷3)
22,surplus_payout,Stable Yield,10,Payment to Investment7 (surplus),27.5,182.50,4.95,177.55,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
23,subscription,Stable Yield,10,Investment16,25,207.50,10.78,196.72,+5.83 surplus on subscribe (triad surplus 17.5÷3)
24,subscription,Stable Yield,10,Investment17,25,232.50,16.61,215.89,+5.83 surplus on subscribe (triad surplus 17.5÷3)
25,payout,Stable Yield,10,Payment to Investment8,27.5,205.00,16.61,188.39,Triad payout 27.5 USDT (10% return); head 8 unlocked by 16 and 17; no surplus on payout
26,subscription,Stable Yield,10,Investment18,25,230.00,22.44,207.56,+5.83 surplus on subscribe (triad surplus 17.5÷3)
27,subscription,Stable Yield,10,Investment19,25,255.00,28.27,226.73,+5.83 surplus on subscribe (triad surplus 17.5÷3)
28,surplus_payout,Stable Yield,10,Payment to Investment9 (surplus),27.5,227.50,0.77,226.73,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
29,subscription,Stable Yield,10,Investment20,25,252.50,6.60,245.90,+5.83 surplus on subscribe (triad surplus 17.5÷3)
30,subscription,Stable Yield,10,Investment21,25,277.50,12.43,265.07,+5.83 surplus on subscribe (triad surplus 17.5÷3)
31,payout,Stable Yield,10,Payment to Investment10,27.5,250.00,12.43,237.57,Triad payout 27.5 USDT (10% return); head 10 unlocked by 20 and 21; no surplus on payout
32,subscription,Stable Yield,10,Investment22,25,275.00,18.26,256.74,+5.83 surplus on subscribe (triad surplus 17.5÷3)
33,subscription,Stable Yield,10,Investment23,25,300.00,24.09,275.91,+5.83 surplus on subscribe (triad surplus 17.5÷3)
34,payout,Stable Yield,10,Payment to Investment11,27.5,272.50,24.09,248.41,Triad payout 27.5 USDT (10% return); head 11 unlocked by 22 and 23; no surplus on payout
35,subscription,Stable Yield,10,Investment24,25,297.50,29.92,267.58,+5.83 surplus on subscribe (triad surplus 17.5÷3)
36,surplus_payout,Stable Yield,10,Payment to Investment12 (surplus),27.5,270.00,2.42,267.58,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
37,subscription,Stable Yield,10,Investment25,25,295.00,8.25,286.75,+5.83 surplus on subscribe (triad surplus 17.5÷3)
38,subscription,Stable Yield,10,Investment26,25,320.00,14.08,305.92,+5.83 surplus on subscribe (triad surplus 17.5÷3)
39,subscription,Stable Yield,10,Investment27,25,345.00,19.91,325.09,+5.83 surplus on subscribe (triad surplus 17.5÷3)
40,payout,Stable Yield,10,Payment to Investment13,27.5,317.50,19.91,297.59,Triad payout 27.5 USDT (10% return); head 13 unlocked by 26 and 27; no surplus on payout
41,subscription,Stable Yield,10,Investment28,25,342.50,25.74,316.76,+5.83 surplus on subscribe (triad surplus 17.5÷3)
42,subscription,Stable Yield,10,Investment29,25,367.50,31.57,335.93,+5.83 surplus on subscribe (triad surplus 17.5÷3)
43,surplus_payout,Stable Yield,10,Payment to Investment14 (surplus),27.5,340.00,4.07,335.93,Surplus ≥ 27.5; pool −27.5 and surplus −27.5
44,subscription,Stable Yield,10,Investment30,25,365.00,9.90,355.10,+5.83 surplus on subscribe (triad surplus 17.5÷3)
45,subscription,Stable Yield,10,Investment31,25,390.00,15.73,374.27,+5.83 surplus on subscribe (triad surplus 17.5÷3)
46,payout,Stable Yield,10,Payment to Investment15,27.5,362.50,15.73,346.77,Triad payout 27.5 USDT (10% return); head 15 unlocked by 30 and 31; no surplus on payout
47,subscription,Stable Yield,10,Investment32,25,387.50,21.56,365.94,+5.83 surplus on subscribe (triad surplus 17.5÷3)
48,subscription,Stable Yield,10,Investment33,25,412.50,27.39,385.11,+5.83 surplus on subscribe (triad surplus 17.5÷3)
49,payout,Stable Yield,10,Payment to Investment16,27.5,385.00,27.39,357.61,Triad payout 27.5 USDT (10% return); head 16 unlocked by 32 and 33; no surplus on payout
50,subscription,Stable Yield,10,Investment34,25,410.00,33.22,376.78,+5.83 surplus on subscribe (triad surplus 17.5÷3)
